,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
2,AMZN,Amazon.com Inc,다양한 소매업,534020
3,FB,Facebook Inc Class A,소프트웨어 및 IT서비스,572010
4,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
5,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
6,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
7,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
8,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
9,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
10,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
11,CMCSA,Comcast Corp Class A,미디어 및 출판,533020
12,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
13,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
14,INTC,Intel Corp,반도체 및 반도체 장비,571010
15,PEP,PepsiCo Inc,음료,541010
16,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
17,COST,Costco Wholesale Corp,다양한 소매업,534020
18,TMUS,T-Mobile US Inc,통신 서비스,574010
19,AZN,AstraZeneca PLC ADR,제약,562010
20,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
21,QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
22,HON,Honeywell International Inc,복합 기업,544010
23,INTU,Intuit Inc,소프트웨어 및 IT서비스,572010
24,SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
25,MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
26,CHTR,Charter Communications Inc Class A,통신 서비스,574010
27,AMGN,Amgen Inc,제약,562010
28,AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
29,AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
30,SNY,Sanofi SA ADR,제약,562010
31,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
32,PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
33,JD,JD.Com Inc ADR,다양한 소매업,534020
34,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
35,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
36,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
37,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
38,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
39,MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
40,MU,Micron Technology Inc,반도체 및 반도체 장비,571010
41,GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
42,BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
43,TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
44,MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
45,CME,CME Group Inc Class A,투자은행 및 서비스,551020
46,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
47,FISV,Fiserv Inc,전문 및 상업 서비스,522030
48,CSX,CSX Corp,화물 및 물류 서비스,524050
49,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
50,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
51,NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
52,ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
53,ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
54,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
55,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
56,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
57,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
58,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
59,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
60,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
61,ROKU,Roku Inc Class A,미디어 및 출판,533020
62,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
63,KLAC,KLA Corp,반도체 및 반도체 장비,571010
64,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
65,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
66,MRVL,Marvell Technology Inc,반도체 및 반도체 장비,571010
67,DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
68,BIIB,Biogen Inc,제약,562010
69,MNST,Monster Beverage Corp,음료,541010
70,COIN,Coinbase Global Inc Class A,핀테크,573010
71,KDP,Keurig Dr Pepper Inc,음료,541010
72,KHC,Kraft Heinz Co,식품 및 담배,541020
73,MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
74,TROW,T Rowe Price Group Inc,투자은행 및 서비스,551020
75,EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
76,FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
77,EXC,Exelon Corp,전기 유틸리티,591010
78,VOD,Vodafone Group PLC ADR,통신 서비스,574010
79,AEP,American Electric Power Company Inc,전기 유틸리티,591010
80,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
81,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
82,ROST,Ross Stores Inc,전문품 상점,534030
83,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
84,EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
85,CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
86,PAYX,Paychex Inc,전문 및 상업 서비스,522030
87,WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
88,CTAS,Cintas Corp,전문 및 상업 서비스,522030
89,MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
90,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
91,CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
92,LCID,Lucid Group Inc,기타 금융업,556010
93,SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
94,XEL,Xcel Energy Inc,전기 유틸리티,591010
95,XLNX,Xilinx Inc,반도체 및 반도체 장비,571010
96,PTON,Peloton Interactive Inc Class A,레저 상품,532050
97,ERIC,Telefonaktiebolaget LM Ericsson ADR,커뮤니케이션 및 네트워킹,571020
98,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
99,TSCAP,TriState Capital Holdings Inc ADR,은행,551010
100,BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
101,CPRT,Copart Inc,전문품 상점,534030
102,DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
103,ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
104,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
105,ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
106,HOOD,Robinhood Markets Inc Class A,핀테크,573010
107,FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
108,ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
109,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
110,NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
111,VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
112,SIVB,SVB Financial Group,은행,551010
113,LI,Li Auto Inc ADR,자동차 및 자동차 부품,531010
114,GRMN,Garmin Ltd,커뮤니케이션 및 네트워킹,571020
115,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
116,GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
117,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
118,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
119,PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
120,SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
